Attributes, k-value, sub-attribute_names
x1,2,
x2,2,
x3,2,
x4,2,
x5,2,

Pilot Questions:
Shortest Hansel Chain First
True Attributes:,
Majority Flag not used
Static

Original Results
Monotone Boolean Function Simplified: k = 0 = !x2!x3!x5 v !x1!x3!x5 v !x4!x5
Monotone Boolean Function Non-simplified: k = 0 = x2x4x5 v x3x4x5 v x2x3x5 v x1x3x5 v x4x5 v x2x3x4x5 v x1x3x4x5 v x1x2x4x5 v x1x2x3x5 v x1x2x3x4x5
Monotone Boolean Function Simplified: k = 1 = x2x3x5 v x1x3x5 v x4x5
Monotone Boolean Function Non-simplified: k = 1 = x2x4x5 v x3x4x5 v x2x3x5 v x1x3x5 v x4x5 v x2x3x4x5 v x1x3x4x5 v x1x2x4x5 v x1x2x3x5 v x1x2x3x4x5
Order of Questions:,1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,6.2,6.3,7.2,7.3,8.3,9.2,9.3,10.4,10.5,
Answers:,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,
Total Questions: 18

Reference Number,Vector,Planned Query Order,Updated Query Order,Final Query Order,Majority Flag,Class,Oracle,Confirmed,Expanded By,Up Expansions,Down Expansions,Up Expandable,Down Expandable
1.1,0;1;0;1;0,19,1,1,0,0,-1,1,,,8.1;6.1;,8.3;6.3;1.2;,8.1;6.1;
1.2,0;1;0;1;1,20,2,2,0,1,-1,1,,8.4;6.4;,,8.4;6.4;,5.1;3.1;1.1;
2.1,0;0;1;1;0,21,3,3,0,0,-1,1,,,7.1;,7.3;6.3;2.2;,8.1;7.1;
2.2,0;0;1;1;1,22,4,4,0,1,-1,1,,7.4;,,7.4;6.4;,5.1;4.1;2.1;
3.1,0;1;0;0;1,27,5,5,0,0,-1,1,,,9.1;,9.3;3.2;1.2;,9.1;6.1;
3.2,0;1;1;0;1,28,6,6,0,1,-1,1,,9.4;,,9.4;6.4;,4.1;3.1;6.2;
4.1,0;0;1;0;1,29,7,7,0,0,-1,1,,,,4.2;3.2;2.2;,9.1;7.1;
4.2,1;0;1;0;1,30,8,8,0,1,-1,1,,,,9.4;7.4;,4.1;9.2;7.2;
5.1,0;0;0;1;1,31,9,9,0,1,-1,1,,5.2;,,5.2;1.2;2.2;,9.1;8.1;
5.2,1;0;0;1;1,32,10,,0,1,-1,1,5.1,,,8.4;7.4;,5.1;9.2;8.2;
6.1,0;1;0;0;0,7,11,,0,0,-1,1,1.1,,,10.3;6.2;1.1;3.1;,10.1;
6.2,0;1;1;0;0,8,12,10,0,0,-1,1,,,,10.4;6.3;3.2;,7.1;6.1;
6.3,0;1;1;1;0,9,13,11,0,0,-1,1,,,,10.5;6.4;,2.1;1.1;6.2;
6.4,0;1;1;1;1,10,14,,0,1,-1,1,1.2,,,10.6;,2.2;1.2;3.2;6.3;
7.1,0;0;1;0;0,11,15,,0,0,-1,1,2.1,,,7.2;6.2;2.1;4.1;,10.1;
7.2,1;0;1;0;0,12,16,12,0,0,-1,1,,,10.2;,10.4;7.3;4.2;,7.1;10.2;
7.3,1;0;1;1;0,13,17,13,0,0,-1,1,,,8.2;,10.5;7.4;,2.1;8.2;7.2;
7.4,1;0;1;1;1,14,18,,0,1,-1,1,2.2,,,10.6;,2.2;5.2;4.2;7.3;
8.1,0;0;0;1;0,15,19,,0,0,-1,1,1.1,,10.1;,8.2;1.1;2.1;5.1;,10.1;
8.2,1;0;0;1;0,16,20,,0,0,-1,1,7.3,,,8.3;7.3;5.2;,8.1;10.2;
8.3,1;1;0;1;0,17,21,14,0,0,-1,1,,,10.3;,10.5;8.4;,1.1;8.2;10.3;
8.4,1;1;0;1;1,18,22,,0,1,-1,1,1.2,10.6;,,10.6;,1.2;5.2;9.3;8.3;
9.1,0;0;0;0;1,23,23,,0,0,-1,1,3.1,,,9.2;3.1;4.1;5.1;,10.1;
9.2,1;0;0;0;1,24,24,15,0,0,-1,1,,,,9.3;4.2;5.2;,9.1;10.2;
9.3,1;1;0;0;1,25,25,16,0,0,-1,1,,,,9.4;8.4;,3.1;9.2;10.3;
9.4,1;1;1;0;1,26,26,,0,1,-1,1,3.2,,,10.6;,3.2;4.2;9.3;10.4;
10.1,0;0;0;0;0,1,27,,0,0,-1,1,8.1,,,10.2;6.1;7.1;8.1;9.1;,
10.2,1;0;0;0;0,2,28,,0,0,-1,1,7.2,,,10.3;7.2;8.2;9.2;,10.1;
10.3,1;1;0;0;0,3,29,,0,0,-1,1,8.3,,,10.4;8.3;9.3;,6.1;10.2;
10.4,1;1;1;0;0,4,30,17,0,0,-1,1,,,,10.5;9.4;,6.2;7.2;10.3;
10.5,1;1;1;1;0,5,31,18,0,0,-1,1,,,,10.6;,6.3;7.3;8.3;10.4;
10.6,1;1;1;1;1,6,32,,0,1,-1,1,8.4,,,,6.4;7.4;8.4;9.4;10.5;

